GP  Games played,GS  Games started,BLK  Total Blocks,BPG  Blocks Per Game,MPG  Minutes Per Game,PF  Total Personal Fouls,PFG  Personal Fouls Per Game,FLG  Flagrant Fouls,TF  Technical Fouls,EJ  Ejections,DSQ  Disqualifications,Player,Position,Team
14,14,,,37.3,36,2.6,0,2,0,0,Fred VanVleet,PG,TOR
20,20,,,37.2,42,2.1,0,0,0,0,Mikal Bridges,SF,PHO
13,13,,,37.2,25,1.9,1,0,0,0,Terry Rozier,SG,CHA
20,20,,,36.9,52,2.6,1,4,0,1,Devin Booker,SG,PHO
19,19,,,36.9,47,2.5,0,0,0,0,Donovan Mitchell,SG,CLE
19,19,,,36.9,42,2.2,0,0,0,0,Anfernee Simons,SG,POR
9,9,,,36.8,18,2,0,1,0,0,James Harden,PG,PHI
21,21,,,36.8,36,1.7,0,1,0,0,Dejounte Murray,PG,ATL
22,22,,,36.7,58,2.6,1,8,0,0,Kevin Durant,PF,BKN
20,20,,,36.6,61,3.1,1,0,0,0,OG Anunoby,SF,TOR
15,15,,,36.6,32,2.1,0,0,0,0,Bradley Beal,SG,WAS
20,20,,,36.6,42,2.1,0,3,0,0,Jayson Tatum,PF,BOS
20,20,,,36.5,46,2.3,0,0,0,1,Jerami Grant,PF,POR
21,21,,,36.4,58,2.8,0,4,0,0,Anthony Edwards,SG,MIN
14,14,,,36.4,42,3,0,2,0,0,Kyrie Irving,PG,BKN
15,15,,,36.4,35,2.3,0,0,0,0,Tyrese Maxey,PG,PHI
21,21,,,36.3,60,2.9,0,2,0,0,Kyle Lowry,PG,MIA
15,15,,,35.9,35,2.3,0,2,0,0,Darius Garland,PG,CLE
20,20,,,35.8,50,2.5,0,1,0,0,Shai Gilgeous-Alexander,SG,OKC
13,13,,,35.7,21,1.6,0,0,0,0,Jimmy Butler,SF,MIA
21,21,,,35.7,60,2.9,0,2,0,1,Josh Hart,SF,POR
22,22,,,35.6,70,3.2,0,0,0,0,Royce O'Neale,PF,BKN
13,13,,,35.5,26,2,0,0,0,0,LeBron James,SF,LAL
19,19,,,35.4,54,2.8,0,1,0,0,Jaylen Brown,SF,BOS
13,13,,,35.4,41,3.2,1,0,0,0,Joel Embiid,C,PHI
20,20,,,35.4,29,1.5,0,3,0,0,Trae Young,PG,ATL
11,11,,,35.2,18,1.6,0,1,0,0,Damian Lillard,PG,POR
17,17,,,35.1,31,1.8,0,2,0,0,CJ McCollum,PG,NO
10,10,,,35.1,32,3.2,0,0,0,1,Pascal Siakam,C,TOR
20,20,,,34.9,53,2.7,0,4,1,0,DeMar DeRozan,SF,CHI
14,14,,,34.8,33,2.4,1,0,0,0,Paolo Banchero,PF,ORL
20,20,,,34.7,42,2.1,0,3,0,0,Stephen Curry,PG,GS
19,19,,,34.6,65,3.4,0,1,0,1,Bam Adebayo,C,MIA
19,19,,,34.6,52,2.7,0,5,1,0,Kevin Porter,PG,HOU
17,17,,,34.5,51,3,0,1,0,0,Anthony Davis,C,LAL
20,20,,,34.4,51,2.6,0,1,0,0,Kyle Kuzma,PF,WAS
16,16,,,34.3,43,2.7,0,3,0,0,Paul George,SF,LAC
21,21,,,34.2,45,2.1,0,0,0,0,R.J. Barrett,SF,NY
20,20,,,34.2,37,1.9,0,2,0,1,Jalen Green,SG,HOU
21,21,,,34.2,57,2.7,0,0,0,1,Evan Mobley,PF,CLE
16,16,,,34.1,41,2.6,1,0,0,0,Zach LaVine,SG,CHI
19,12,,,34,44,2.3,1,1,0,0,Max Strus,SG,MIA
19,19,,,33.9,41,2.2,0,0,0,0,Tobias Harris,PF,PHI
20,20,,,33.8,22,1.1,0,0,0,0,Tyrese Haliburton,PG,IND
21,21,,,33.8,82,3.9,0,4,0,3,Karl-Anthony Towns,PF,MIN
23,23,,,33.7,47,2,0,0,0,0,Lauri Markkanen,SF,UTA
12,12,,,33.6,29,2.4,0,0,0,0,Desmond Bane,SG,MEM
20,20,,,33.4,37,1.9,0,0,0,0,Dorian Finney-Smith,SF,DAL
21,21,,,33.3,56,2.7,0,1,0,0,Franz Wagner,G,ORL
12,12,,,33.3,34,2.8,0,0,0,0,Cade Cunningham,SG,DET
17,16,,,33.1,25,1.5,0,1,0,0,Scottie Barnes,PF,TOR
21,21,,,33,72,3.4,1,2,0,1,Julius Randle,PF,NY
15,15,,,32.9,48,3.2,0,2,0,2,Wendell Carter Jr.,C,ORL
20,20,,,32.9,40,2,0,2,1,0,Caleb Martin,SF,MIA
17,17,,,32.9,31,1.8,0,3,0,0,Ja Morant,PG,MEM
20,20,,,32.9,61,3.1,0,0,0,0,Andrew Wiggins,SF,GS
3,3,,,32.7,8,2.7,0,0,0,0,LaMelo Ball,PG,CHA
16,16,,,32.6,53,3.3,0,0,0,1,Giannis Antetokounmpo,PF,MIL
19,19,,,32.6,72,3.8,0,0,0,3,Domantas Sabonis,C,SAC
13,13,,,32.5,23,1.8,0,1,0,0,Tyler Herro,PG,MIA
21,21,,,32.4,55,2.6,0,0,0,0,Jalen Brunson,PG,NY
11,11,,,32.3,10,0.9,0,0,0,0,Gordon Hayward,SF,CHA
19,19,,,32.3,59,3.1,1,2,0,0,Marcus Smart,PG,BOS
21,21,,,32.2,70,3.3,0,2,0,2,John Collins,PF,ATL
19,19,,,32.2,46,2.4,0,2,0,0,Kevin Huerter,SG,SAC
16,14,,,32.2,25,1.6,0,0,0,0,Devin Vassell,SG,SA
18,18,,,32.1,49,2.7,0,2,0,0,De'Aaron Fox,PG,SAC
20,20,,,32.1,62,3.1,1,0,0,1,De'Andre Hunter,SF,ATL
15,15,,,32.1,33,2.2,0,0,0,1,Brandon Ingram,SF,NO
17,14,,,32.1,40,2.4,0,1,0,0,Caris LeVert,SF,CLE
17,17,,,32,38,2.2,1,0,0,0,Jarrett Allen,C,CLE
23,23,,,32,40,1.7,0,0,0,0,Jordan Clarkson,PG,UTA
20,20,,,32,45,2.3,1,2,1,0,Spencer Dinwiddie,PG,DAL
17,17,,,32,48,2.8,0,0,0,0,Nikola Jokic,C,DEN
20,20,,,32,67,3.4,0,2,0,1,Kristaps Porzingis,C,WAS
19,19,,,31.9,33,1.7,0,1,0,1,Keldon Johnson,SF,SA
20,20,,,31.9,41,2.1,0,3,0,0,Nikola Vucevic,C,CHI
21,21,,,31.9,57,2.7,0,0,0,0,P.J. Washington,PF,CHA
19,19,,,31.8,58,3.1,0,0,0,0,Rudy Gobert,C,MIN
19,19,,,31.8,56,2.9,1,0,0,1,Jaden Ivey,SG,DET
15,14,,,31.7,27,1.8,0,0,0,0,Jrue Holiday,PG,MIL
19,19,,,31.6,38,2,1,3,0,0,Kentavious Caldwell-Pope,SG,DEN
22,22,,,31.5,40,1.8,0,5,0,0,Bojan Bogdanovic,SF,DET
20,20,,,31.5,44,2.2,0,1,0,0,Buddy Hield,SG,IND
17,17,,,31.5,31,1.8,0,0,0,0,Lonnie Walker IV,SF,LAL
21,21,,,31.4,66,3.1,1,4,0,1,Kelly Oubre Jr.,SG,CHA
17,16,,,31.3,24,1.4,0,0,0,0,Gary Trent Jr.,SG,TOR
15,15,,,31.3,38,2.5,1,1,0,0,Zion Williamson,PF,NO
17,17,,,31.2,33,1.9,1,0,0,0,Al Horford,C,BOS
21,21,,,31,40,1.9,0,1,0,0,D'Angelo Russell,PG,MIN
19,19,,,30.9,43,2.3,0,0,0,0,Brook Lopez,C,MIL
19,19,,,30.7,26,1.4,0,0,0,0,Harrison Barnes,PF,SAC
20,20,,,30.7,68,3.4,0,6,0,3,Draymond Green,PF,GS
19,17,,,30.6,32,1.7,0,1,0,0,Saddiq Bey,SF,DET
17,17,,,30.6,55,3.2,0,4,0,2,Dillon Brooks,SF,MEM
20,20,,,30.6,45,2.3,0,3,0,0,Marcus Morris,PF,LAC
22,22,,,30.6,66,3,0,0,0,1,Ivica Zubac,C,LAC
4,3,,,30.5,14,3.5,0,0,0,0,Cole Anthony,PG,ORL
18,18,,,30.3,42,2.3,0,0,0,0,Josh Giddey,PG,OKC
21,21,,,30.3,71,3.4,0,0,0,0,Luguentz Dort,SF,OKC
17,17,,,30.2,13,0.8,0,0,0,0,Eric Gordon,SF,HOU
10,10,,,30.2,23,2.3,0,2,0,0,Chris Paul,PG,PHO
20,20,,,30,40,2,0,0,0,0,Tre Jones,PG,SA
19,19,,,30,64,3.4,0,2,0,0,Jabari Smith,PF,HOU
19,19,,,29.9,70,3.7,2,1,0,4,Jaden McDaniels,SF,MIN
18,18,,,29.7,32,1.8,0,2,1,0,Klay Thompson,SG,GS
22,22,,,29.6,40,1.8,0,0,0,0,Reggie Jackson,PG,LAC
16,16,,,29.4,18,1.1,0,1,0,0,Jamal Murray,PG,DEN
18,18,,,29.2,54,3,0,2,0,0,Deandre Ayton,C,PHO
20,8,,,29.2,45,2.3,0,1,0,0,Bruce Brown,SF,DEN
17,17,,,29.2,35,2.1,0,0,0,0,Mike Conley,PG,UTA
18,18,,,29.2,60,3.3,0,1,0,0,Jusuf Nurkic,C,POR
19,19,,,29.1,52,2.7,0,0,0,0,Ayo Dosunmu,PG,CHI
16,16,,,29.1,42,2.6,1,0,0,0,Michael Porter Jr.,SF,DEN
15,15,,,29.1,50,3.3,0,0,0,0,Myles Turner,C,IND
14,13,,,28.9,44,3.1,0,0,0,2,Jalen Suggs,SG,ORL
17,15,,,28.8,36,2.1,1,0,0,0,Keegan Murray,PF,SAC
21,21,,,28.7,53,2.5,0,1,0,0,P.J. Tucker,PF,PHI
16,16,,,28.6,55,3.4,0,1,0,1,Herbert Jones,SG,NO
17,17,,,28.5,31,1.8,1,2,0,0,Aaron Gordon,PF,DEN
19,7,,,28.5,29,1.5,0,0,0,0,Austin Reaves,SG,LAL
18,8,,,28.4,56,3.1,0,1,0,0,Justise Winslow,SF,POR
23,23,,,28.3,92,4,2,1,0,3,Kelly Olynyk,PF,UTA
18,3,,,28.2,44,2.4,0,2,0,0,Russell Westbrook,PG,LAL
20,10,,,28.2,56,2.8,0,2,1,0,Grant Williams,PF,BOS
20,0,,,28.1,38,1.9,0,2,0,0,Bennedict Mathurin,SG,IND
19,12,,,28.1,38,2,0,1,0,0,De'Anthony Melton,SG,PHI
17,12,,,28.1,64,3.8,0,2,0,4,Ben Simmons,PG,BKN
19,18,,,27.9,46,2.4,0,0,0,0,Reggie Bullock,SF,DAL
15,11,,,27.9,34,2.3,0,0,0,0,Dennis Smith Jr.,PG,CHA
19,19,,,27.6,41,2.2,0,0,0,0,Clint Capela,C,ATL
5,2,,,27.6,12,2.4,0,0,0,0,Gary Harris,SG,ORL
18,8,,,27.6,30,1.7,0,0,0,0,Trey Murphy III,SF,NO
22,4,,,27.5,51,2.3,1,3,0,0,Jordan Poole,SG,GS
14,14,,,27.4,43,3.1,0,3,1,0,Patrick Beverley,PG,LAL
21,21,,,27.4,61,2.9,1,2,0,0,Nicolas Claxton,C,BKN
19,11,,,27.4,35,1.8,0,0,0,0,John Konchar,SG,MEM
19,19,,,27.2,55,2.9,0,1,0,0,Jevon Carter,PG,MIL
20,20,,,27.2,46,2.3,0,0,0,0,Jakob Poeltl,C,SA
21,16,,,27.1,33,1.6,0,0,0,0,Bol Bol,PF,ORL
21,21,,,27.1,68,3.2,0,1,0,1,Mason Plumlee,C,CHA
16,16,,,27.1,47,2.9,0,2,0,0,Isaiah Stewart,C,DET
19,5,,,27,35,1.8,0,3,0,0,Bobby Portis,C,MIL
18,18,,,26.9,22,1.2,0,0,0,0,Monte Morris,PG,WAS
17,15,,,26.8,26,1.5,0,0,0,0,Grayson Allen,SF,MIL
23,2,,,26.7,27,1.2,0,1,0,0,Malik Beasley,SG,UTA
17,14,,,26.7,61,3.6,0,1,0,3,Alperen Sengun,C,HOU
19,19,,,26.6,48,2.5,0,2,0,0,Steven Adams,C,MEM
13,9,,,26.4,15,1.2,0,0,0,0,Corey Kispert,SG,WAS
21,16,,,26.3,54,2.6,0,0,0,0,Derrick White,SG,BOS
17,15,,,26.2,30,1.8,0,0,0,0,Troy Brown Jr.,SF,LAL
5,5,,,26,13,2.6,0,1,0,0,Jaren Jackson Jr.,PF,MEM
19,15,,,25.8,50,2.6,0,2,0,0,Santi Aldama,PF,MEM
20,5,,,25.8,44,2.2,0,0,0,0,Alex Caruso,SG,CHI
21,3,,,25.8,59,2.8,0,1,0,0,Jalen McDaniels,PF,CHA
16,0,,,25.8,41,2.6,0,0,0,0,Gabe Vincent,PG,MIA
20,20,,,25.8,40,2,0,0,0,1,Patrick Williams,PF,CHI
18,0,,,25.6,50,2.8,0,0,0,1,Christian Wood,C,DAL
8,8,,,25.3,14,1.8,0,0,0,0,Cameron Johnson,SF,PHO
22,5,,,25.3,40,1.8,0,1,0,0,Norman Powell,SG,LAC
20,5,,,25.2,37,1.9,1,1,0,0,Kenyon Martin Jr.,SF,HOU
18,10,,,25.2,44,2.4,0,1,0,0,Cameron Payne,PG,PHO
20,11,,,25.1,44,2.2,0,0,0,0,Joe Harris,SG,BKN
6,3,,,25,11,1.8,0,1,0,0,Dennis Schroder,PG,LAL
16,0,,,24.9,32,2,0,0,0,0,Maxi Kleber,PF,DAL
20,20,,,24.9,52,2.6,0,0,0,0,Jeremy Sochan,PF,SA
18,8,,,24.8,32,1.8,0,0,0,0,Terrence Ross,SG,ORL
21,21,,,24.8,66,3.1,1,0,0,3,Jarred Vanderbilt,C,UTA
17,6,,,24.6,45,2.6,1,0,0,1,Jalen Williams,SG,OKC
15,7,,,24.5,40,2.7,0,0,0,0,Dean Wade,PF,CLE
21,18,,,24.1,65,3.1,0,0,0,0,Deni Avdija,SF,WAS
19,2,,,24.1,23,1.2,0,0,0,0,Tim Hardaway Jr.,SG,DAL
20,20,,,24,43,2.2,0,0,0,0,Jalen Smith,PF,IND
10,9,,,23.7,24,2.4,0,1,0,0,Marvin Bagley III,PF,DET
16,0,,,23.7,42,2.6,0,1,0,0,Chris Boucher,C,TOR
23,6,,,23.7,53,2.3,0,0,0,0,Collin Sexton,SG,UTA
23,10,,,23.6,65,2.8,0,0,0,1,Killian Hayes,PG,DET
20,3,,,23.6,11,0.6,0,0,0,0,Tyus Jones,PG,MEM
16,0,,,23.5,18,1.1,0,0,0,0,Rui Hachimura,PF,WAS
20,12,,,23.3,47,2.4,0,1,0,0,Torrey Craig,SF,PHO
4,0,,,23.3,8,2,0,0,0,0,Joshua Primo,SG,SA
20,20,,,23.3,50,2.5,0,0,0,0,Jonas Valanciunas,C,NO
12,0,,,23.2,19,1.6,0,0,0,0,Seth Curry,SG,BKN
18,14,,,23.2,34,1.9,0,0,0,0,Aleksej Pokusevski,PF,OKC
18,8,,,23,30,1.7,0,1,0,0,Cam Reddish,SF,NY
17,2,,,22.9,31,1.8,0,1,0,0,Josh Richardson,SG,SA
17,6,,,22.8,25,1.5,0,2,0,0,Shake Milton,SG,PHI
21,0,,,22.8,44,2.1,0,0,0,0,Cedi Osman,SF,CLE
4,0,,,22.8,5,1.3,0,0,0,0,Delon Wright,SG,WAS
17,0,,,22.7,24,1.4,1,0,0,0,Malcolm Brogdon,PG,BOS
3,2,,,22.7,15,5,0,0,0,1,Jae'Sean Tate,SF,HOU
21,0,,,22.6,24,1.1,1,0,0,0,Will Barton,SG,WAS
22,22,,,22.6,65,3,0,0,0,1,Kevon Looney,C,GS
19,0,,,22.6,34,1.8,0,2,1,0,Malik Monk,SG,SAC
21,0,,,22.6,39,1.9,0,0,0,0,Immanuel Quickley,PG,NY
5,3,,,22.4,7,1.4,0,0,0,0,Kawhi Leonard,SF,LAC
18,4,,,22.4,30,1.7,0,0,0,0,Tre Mann,PG,OKC
18,0,,,22.4,34,1.9,1,1,0,0,Larry Nance Jr.,PF,NO
17,0,,,22.2,29,1.7,0,1,0,0,John Wall,PG,LAC
20,0,,,22.1,48,2.4,0,0,0,0,Jalen Duren,C,DET
21,7,,,22.1,57,2.7,0,0,0,0,Isaiah Hartenstein,C,NY
13,12,,,21.9,43,3.3,0,0,0,1,Mitchell Robinson,C,NY
16,9,,,21.8,42,2.6,0,0,0,0,Aaron Nesmith,SF,IND
18,7,,,21.8,34,1.9,0,0,0,0,Chuma Okeke,PF,ORL
9,6,,,21.6,16,1.8,0,0,0,0,Lamar Stevens,SG,CLE
13,0,,,21.5,24,1.8,0,1,0,0,Nah'Shon Hyland,PG,DEN
19,0,,,21.3,27,1.4,0,0,0,0,George Hill,PG,MIL
14,7,,,21.3,20,1.4,0,1,0,0,Luke Kennard,SG,LAC
22,10,,,21,41,1.9,0,0,0,0,Terance Mann,SF,LAC
14,1,,,20.9,27,1.9,0,1,0,0,Jordan Goodwin,SG,WAS
19,0,,,20.9,32,1.7,0,0,0,0,Doug McDermott,SF,SA
20,0,,,20.8,28,1.4,1,2,0,0,Damion Lee,SG,PHO
20,2,,,20.8,60,3,0,0,0,0,Onyeka Okongwu,C,ATL
16,1,,,20.7,22,1.4,0,0,0,0,Kevin Love,PF,CLE
15,6,,,20.7,37,2.5,0,0,0,0,Andrew Nembhard,PG,IND
15,5,,,20.7,25,1.7,0,0,0,0,Aaron Wiggins,SF,OKC
10,0,,,20.6,27,2.7,1,0,0,0,Alec Burks,PG,DET
20,5,,,20.5,43,2.2,0,2,1,0,Jose Alvarado,PG,NO
16,2,,,20.5,21,1.3,0,2,0,0,Kyle Anderson,SF,MIN
19,3,,,20.5,37,1.9,0,1,0,0,Kenrich Williams,SG,OKC
12,0,,,20.4,19,1.6,0,0,0,0,Precious Achiuwa,C,TOR
20,13,,,20.4,37,1.9,0,0,0,0,Jeremiah Robinson-Earl,C,OKC
19,4,,,20.2,23,1.2,0,3,0,0,Naji Marshall,SF,NO
21,6,,,20.1,41,2,2,0,0,0,Isaiah Livers,SF,DET
13,7,,,20,28,2.2,0,1,0,1,Evan Fournier,SG,NY
16,3,,,20,33,2.1,0,1,0,0,Jeff Green,PF,DEN
2,0,,,20,5,2.5,0,0,0,0,Orlando Robinson,C,MIA
20,5,,,20,31,1.6,0,1,0,0,Shaedon Sharpe,SG,POR
12,0,,,19.8,19,1.6,0,0,0,0,Coby White,PG,CHI
9,5,,,19.7,16,1.8,0,1,0,0,Chris Duarte,SF,IND
21,0,,,19.7,47,2.2,1,1,0,0,Georges Niang,PF,PHI
21,0,,,19.7,46,2.2,0,2,0,0,Nick Richards,C,CHA
18,0,,,19.6,43,2.4,1,1,0,0,Taurean Prince,PF,MIN
20,1,,,19.5,49,2.5,0,1,0,1,Josh Green,SG,DAL
21,4,,,19.3,47,2.2,0,0,0,0,Isaac Okoro,SG,CLE
20,1,,,19.1,44,2.2,0,0,0,0,Brandon Clarke,PF,MEM
19,1,,,19.1,29,1.5,0,0,0,0,Davion Mitchell,PG,SAC
22,1,,,18.8,46,2.1,0,0,0,1,Nicolas Batum,PF,LAC
10,2,,,18.8,16,1.6,0,0,0,0,Romeo Langford,SG,SA
19,5,,,18.7,42,2.2,0,1,0,0,Mo Bamba,C,ORL
16,1,,,18.6,27,1.7,0,0,0,0,Caleb Houstan,SG,ORL
20,0,,,18.4,43,2.2,0,1,0,0,Tari Eason,F,HOU
16,0,,,18.4,33,2.1,0,0,0,0,Jake LaRavia,SF,MEM
19,1,,,18.4,20,1.1,0,0,0,0,Jordan Nwora,SG,MIL
8,2,,,18.3,7,0.9,0,0,0,0,Otto Porter Jr.,SF,TOR
14,2,,,18.2,33,2.4,0,0,0,0,Anthony Lamb,SF,GS
14,0,,,18.2,16,1.1,0,0,0,0,Yuta Watanabe,SF,BKN
17,7,,,18.2,29,1.7,0,0,0,0,Thaddeus Young,PF,TOR
11,0,,,18.1,33,3,1,1,1,0,Zach Collins,PF,SA
